uncertainty_weight,k,avg_precision_at_k,std_precision_at_k,avg_hit_rate,std_hit_rate,avg_hits,baseline_avg_precision_at_k,baseline_std_precision_at_k,baseline_avg_hit_rate,baseline_std_hit_rate,baseline_avg_hits,feature_set,numeric_features,n_numeric_features,n_runs,clip_predictions,svd_explained_variance
14,5,0.4,0.20519567041703082,0.0625,0.03206182350266107,2.0,0.17,0.1341640786499874,0.0265625,0.02096313728906053,0.85,combo_mean_popularity_statistics_num_list_users_completed_dropped_plan_to_watch,"mean, popularity, statistics_num_list_users, completed, dropped, plan_to_watch",6,20,False,0.40687277196386595
14,5,0.39,0.17740824166460337,0.0609375,0.02772003776009428,1.95,,,,,,combo_popularity,popularity,1,20,False,0.40687277196386595
14,5,0.39,0.1889026482776665,0.0609375,0.029516038793385397,1.95,0.17,0.1341640786499874,0.0265625,0.02096313728906053,0.85,combo_mean_statistics_num_list_users_completed,"mean, statistics_num_list_users, completed",3,20,False,0.40687277196386595
14,5,0.39,0.16511558949637928,0.0609375,0.025799310858809266,1.95,0.17,0.1341640786499874,0.0265625,0.02096313728906053,0.85,combo_mean_popularity_statistics_num_list_users_watching_plan_to_watch,"mean, popularity, statistics_num_list_users, watching, plan_to_watch",5,20,False,0.40687277196386595
14,5,0.39,0.17740824166460337,0.0609375,0.02772003776009428,1.95,0.17,0.1341640786499874,0.0265625,0.02096313728906053,0.85,combo_mean_popularity_watching_on_hold_plan_to_watch,"mean, popularity, watching, on_hold, plan_to_watch",5,20,False,0.40687277196386595
14,5,0.38,0.19358120830939743,0.059375,0.030247063798343347,1.9,0.17,0.1341640786499874,0.0265625,0.02096313728906053,0.85,combo_mean_statistics_num_list_users_completed_dropped,"mean, statistics_num_list_users, completed, dropped",4,20,False,0.40687277196386595
14,5,0.38,0.15761378513048246,0.059375,0.024627153926637887,1.9,0.17,0.1341640786499874,0.0265625,0.02096313728906053,0.85,combo_mean_popularity_watching_completed_plan_to_watch,"mean, popularity, watching, completed, plan_to_watch",5,20,False,0.40687277196386595
14,5,0.38,0.17044832524535808,0.059375,0.026632550819587198,1.9,0.17,0.1341640786499874,0.0265625,0.02096313728906053,0.85,combo_mean_popularity_watching_dropped_plan_to_watch,"mean, popularity, watching, dropped, plan_to_watch",5,20,False,0.40687277196386595
14,5,0.38,0.15761378513048246,0.059375,0.024627153926637887,1.9,0.17,0.1341640786499874,0.0265625,0.02096313728906053,0.85,combo_mean_popularity_statistics_num_list_users_watching_completed_plan_to_watch,"mean, popularity, statistics_num_list_users, watching, completed, plan_to_watch",6,20,False,0.40687277196386595
14,5,0.38,0.18238190122579828,0.059375,0.028497172066530983,1.9,0.17,0.1341640786499874,0.0265625,0.02096313728906053,0.85,combo_mean_popularity_statistics_num_list_users_on_hold_dropped_plan_to_watch,"mean, popularity, statistics_num_list_users, on_hold, dropped, plan_to_watch",6,20,False,0.40687277196386595
14,5,0.37,0.1750187959830841,0.0578125,0.027346686872356887,1.85,0.17,0.1341640786499874,0.0265625,0.02096313728906053,0.85,combo_mean_popularity,"mean, popularity",2,20,False,0.40687277196386595
14,5,0.37,0.1625455401774498,0.0578125,0.02539774065272653,1.85,,,,,,combo_popularity_statistics_num_list_users_dropped,"popularity, statistics_num_list_users, dropped",3,20,False,0.40687277196386595
14,5,0.36,0.2112618729145617,0.05625,0.03300966764290027,1.8,,,,,,combo_popularity_completed,"popularity, completed",2,20,False,0.40687277196386595
14,5,0.36,0.1788854381999832,0.05625,0.02795084971874737,1.8,,,,,,combo_popularity_dropped,"popularity, dropped",2,20,False,0.40687277196386595
14,5,0.36,0.16670175069329815,0.05625,0.02604714854582783,1.8,0.17,0.1341640786499874,0.0265625,0.02096313728906053,0.85,combo_mean_popularity_completed_dropped_plan_to_watch,"mean, popularity, completed, dropped, plan_to_watch",5,20,False,0.40687277196386595
14,5,0.35,0.1820930936000652,0.0546875,0.028452045875010188,1.75,0.17,0.1341640786499874,0.0265625,0.02096313728906053,0.85,combo_mean_dropped,"mean, dropped",2,20,False,0.40687277196386595
14,5,0.35,0.17013926184468012,0.0546875,0.02658425966323127,1.75,,,,,,combo_popularity_completed_dropped,"popularity, completed, dropped",3,20,False,0.40687277196386595
14,5,0.34,0.16026294183720638,0.053125,0.025041084662063492,1.7,,,,,,combo_popularity_watching,"popularity, watching",2,20,False,0.40687277196386595
14,5,0.34,0.19574419397183718,0.053125,0.030585030308099555,1.7,0.17,0.1341640786499874,0.0265625,0.02096313728906053,0.85,combo_mean_statistics_num_list_users_dropped,"mean, statistics_num_list_users, dropped",3,20,False,0.40687277196386595
14,5,0.34,0.21618705350983244,0.053125,0.033779227110911324,1.7,0.17,0.1341640786499874,0.0265625,0.02096313728906053,0.85,combo_mean_watching_on_hold,"mean, watching, on_hold",3,20,False,0.40687277196386595
