bayesian_uncertainty_weight,k,avg_ndcg_at_k,std_ndcg_at_k,avg_precision_at_k,std_precision_at_k,avg_mrr_at_k,std_mrr_at_k,avg_relevant_hits_at_k,avg_strong_hits_at_k,avg_test_relevant,avg_test_strong_relevant,username,component,score_count,n_runs,max_tfidf_features,clip_predictions,svd_explained_variance,candidate_universe_size
0,5,0.014713019023769919,0.047900136399931265,0.02,0.060302268915552716,0.033166666666666664,0.10682372170843353,0.1,0.08,20.45,12.71,xF0x,200,135,100,3000,False,0.29562264705222047,4859
0,5,0.14101545810728866,0.13941817514816301,0.17,0.14599017539934428,0.26983333333333337,0.26107022030990035,0.85,0.73,35.49,19.37,alfalfy,200,161,100,3000,False,0.29562264705222047,4859
0,5,0.315995321792478,0.20951629023204196,0.30400000000000005,0.2019700947960345,0.5606666666666666,0.36110349642321166,1.52,1.43,87.15,16.15,Siipn,200,448,100,3000,False,0.29562264705222047,4859
0,5,0.0394736517929493,0.0622638935912429,0.05800000000000001,0.09120960431441374,0.06283333333333334,0.10019215544875763,0.29,0.29,41.49,16.4,Haileytokar,200,198,100,3000,False,0.29562264705222047,4859
0,5,0.008701953071896109,0.0347607182352938,0.012000000000000002,0.0477366513151884,0.014833333333333334,0.06001753391388535,0.06,0.06,27.61,15.48,LoyJoy,300,231,100,3000,False,0.3789272706082881,4859
0,5,0.4482617371006931,0.237436892659141,0.414,0.21321019173244476,0.7623333333333333,0.3425626340527499,2.07,1.91,17.19,8.18,DanteNani2004,300,75,100,3000,False,0.3789272706082881,4859
0,5,0.022639941946200105,0.054451017353684926,0.03,0.07177405625652734,0.04016666666666666,0.09804757886690044,0.15,0.15,41.19,21.31,Kutu_Mastor,300,237,100,3000,False,0.3789272706082881,4859
0,5,0.03745021366650522,0.07014109618833755,0.046000000000000006,0.08459051693633014,0.07166666666666666,0.1403558888437135,0.23,0.23,14.55,8.34,Dadalt,300,68,100,3000,False,0.3789272706082881,4859
0,5,0.09782947329877502,0.12952888756219108,0.13,0.15666989036012807,0.3593333333333333,0.43260311435015647,0.65,0.35,32.46,18.08,yorkie_pro,300,187,100,3000,False,0.3789272706082881,4859
0,5,0.0013120507751234179,0.013120507751234177,0.002,0.019999999999999993,0.002,0.019999999999999993,0.01,0.01,23.48,23.48,Opelo_Stradyon,300,395,100,3000,False,0.3789272706082881,4859
0,5,0.12036117472420017,0.11410347953326577,0.2,0.1582735134206133,0.23216666666666666,0.19582131562810262,1.0,0.61,16.53,8.52,Captn_Cook,300,79,100,3000,False,0.3789272706082881,4859
0,5,0.030577257740109994,0.06819412193090606,0.046000000000000006,0.0936574458957598,0.06416666666666666,0.1341384572054526,0.23,0.17,19.83,9.35,Dinterdos123,300,83,100,3000,False,0.3789272706082881,4859
0,5,0.08836368824265803,0.11498471942809915,0.134,0.1683070786606218,0.14966666666666667,0.17409345117454325,0.67,0.51,48.0,17.9,Ebelha,300,191,100,3000,False,0.3789272706082881,4859
0,5,0.0635506577069466,0.07342484605059861,0.124,0.1092860208051988,0.132,0.11485314880857991,0.62,0.37,35.29,7.28,Moonshyla,300,144,100,3000,False,0.3789272706082881,4859
0,5,0.11618621835913609,0.14178950475128968,0.10800000000000001,0.12527142249104262,0.26016666666666666,0.3584391825498169,0.54,0.54,60.88,33.29,LocNguyen,300,572,100,3000,False,0.3789272706082881,4859
0,5,0.005396835823797318,0.026603655902394496,0.008,0.03938927711338648,0.0085,0.042076769665155445,0.04,0.04,41.06,26.91,IM_C4,300,228,100,3000,False,0.3789272706082881,4859
0,5,0.003936152325370253,0.022494665491574868,0.006000000000000001,0.03428932159955306,0.006000000000000001,0.03428932159955306,0.03,0.03,34.29,9.94,HumanRat,300,161,100,3000,False,0.3789272706082881,4859
0,5,0.029951203000726023,0.07934292715403247,0.028000000000000004,0.06974701760395541,0.07066666666666667,0.20542747852656487,0.14,0.14,27.24,5.73,KSTTK,300,138,100,3000,False,0.3789272706082881,4859
0,5,0.38453126484074657,0.1182102493498382,0.494,0.1542790335788379,0.355,0.10367814740415769,2.47,2.47,15.44,15.44,DaiShi57,300,190,100,3000,False,0.3789272706082881,4859
0,5,0.02192604145084059,0.05163907567357912,0.032,0.07369058983549413,0.03816666666666667,0.08955855698406749,0.16,0.15,32.02,12.67,dareggon,300,145,100,3000,False,0.3789272706082881,4859
0,5,0.07636846268773338,0.11183865954722085,0.11200000000000002,0.14583787871704276,0.17566666666666667,0.24872762632800852,0.56,0.34,18.79,7.16,pensa89,300,92,100,3000,False,0.3789272706082881,4859
0,5,0.02250347881078177,0.07010665712044906,0.022000000000000002,0.06289320754704403,0.052333333333333336,0.1846527362283944,0.11,0.11,32.63,17.87,MarnikBe,300,163,100,3000,False,0.3789272706082881,4859
0,5,0.06920090730949656,0.09324883623365632,0.07800000000000001,0.10207939077111511,0.141,0.1997110707610166,0.39,0.39,90.2,39.17,Edison-great,300,459,100,3000,False,0.3789272706082881,4859
0,5,0.12261159105617325,0.16025945614851694,0.12200000000000001,0.15013798367306702,0.24133333333333332,0.32289619518035956,0.61,0.58,23.96,11.67,TheRealist68,300,149,100,3000,False,0.3789272706082881,4859
0,5,0.07579840394593125,0.09105644898528488,0.138,0.1574929852534404,0.13066666666666665,0.13865070485703015,0.69,0.45,45.98,25.59,MeloniaShaby,300,220,100,3000,False,0.3789272706082881,4859
0,5,0.09062070203831989,0.12366610010715405,0.10200000000000001,0.12869194287761826,0.17016666666666666,0.252943335726926,0.51,0.51,187.09,26.89,Irseus,300,775,100,3000,False,0.3789272706082881,4859
0,5,0.010496406200987343,0.03577436650810192,0.016,0.05453198486885816,0.016,0.05453198486885816,0.08,0.08,37.86,21.92,AkiAki_Akira,300,234,100,3000,False,0.3789272706082881,4859
0,5,0.04632093354951314,0.07640574303604204,0.05600000000000001,0.09025217197084259,0.09,0.15672360882231354,0.28,0.28,85.95,51.45,GrumbleDango,300,488,100,3000,False,0.3789272706082881,4859
