username,requested_knn_neighbors,k,avg_ndcg_at_k,std_ndcg_at_k,avg_precision_at_k,std_precision_at_k,avg_mrr_at_k,std_mrr_at_k,avg_relevant_hits_at_k,avg_strong_hits_at_k,avg_test_relevant,avg_test_strong_relevant,valid_runs,score_count,avg_train_count,avg_actual_knn_neighbors,min_actual_knn_neighbors,max_actual_knn_neighbors
pensa89,200,5,0.30699132874683754,0.19433835763592336,0.322,0.1630393148348526,0.6395000000000001,0.354121595468427,1.61,1.14,18.79,7.16,100,92,69.0,69.0,69,69
pensa89,250,5,0.30699132874683754,0.19433835763592336,0.322,0.1630393148348526,0.6395000000000001,0.354121595468427,1.61,1.14,18.79,7.16,100,92,69.0,69.0,69,69
pensa89,300,5,0.30699132874683754,0.19433835763592336,0.322,0.1630393148348526,0.6395000000000001,0.354121595468427,1.61,1.14,18.79,7.16,100,92,69.0,69.0,69,69
Haileytokar,150,5,0.29459139773908005,0.18858014215789828,0.322,0.17266771966450883,0.5816666666666667,0.36579710173927416,1.61,1.3,41.49,16.4,100,198,148.0,148.0,148,148
Haileytokar,200,5,0.29459139773908005,0.18858014215789828,0.322,0.17266771966450883,0.5816666666666667,0.36579710173927416,1.61,1.3,41.49,16.4,100,198,148.0,148.0,148,148
Haileytokar,250,5,0.29459139773908005,0.18858014215789828,0.322,0.17266771966450883,0.5816666666666667,0.36579710173927416,1.61,1.3,41.49,16.4,100,198,148.0,148.0,148,148
Haileytokar,300,5,0.29459139773908005,0.18858014215789828,0.322,0.17266771966450883,0.5816666666666667,0.36579710173927416,1.61,1.3,41.49,16.4,100,198,148.0,148.0,148,148
Haileytokar,50,5,0.2891058973657238,0.19101597410402568,0.3,0.18748737331221843,0.6093333333333333,0.37909248358561676,1.5,1.19,41.49,16.4,100,198,148.0,50.0,50,50
pensa89,50,5,0.2873238949635214,0.19519355802845753,0.29200000000000004,0.16677572189662807,0.6316666666666666,0.37690406987721853,1.46,1.01,18.79,7.16,100,92,69.0,50.0,50,50
Haileytokar,100,5,0.2871578745773323,0.19395112330372793,0.29400000000000004,0.18080627503189456,0.5943333333333333,0.3950395283465048,1.47,1.2,41.49,16.4,100,198,148.0,100.0,100,100
LocNguyen,200,5,0.2870440057257093,0.19326732785150344,0.31,0.19974731512335756,0.7001666666666666,0.3952332062436312,1.55,0.92,60.88,33.29,100,572,421.0,200.0,200,200
LocNguyen,300,5,0.2833959898135958,0.17557772777382813,0.34800000000000003,0.1940946348375639,0.7861666666666666,0.35023685267856425,1.74,0.82,60.88,33.29,100,572,421.0,300.0,300,300
LocNguyen,250,5,0.2753289517815011,0.1825117479594812,0.326,0.19623733311755664,0.755,0.3793601737322217,1.63,0.79,60.88,33.29,100,572,421.0,250.0,250,250
LoyJoy,100,5,0.2700527650564869,0.1604189183332497,0.344,0.19914970765885162,0.5251666666666667,0.2907042321970631,1.72,1.24,27.61,15.48,100,231,173.0,100.0,100,100
Siipn,250,5,0.23616052231749474,0.25404125304827013,0.326,0.29357428120640705,0.4435,0.3387927914751958,1.63,1.01,87.15,16.15,100,448,336.0,250.0,250,250
MarnikBe,150,5,0.23315326676247547,0.18298855417162413,0.212,0.15260697523012795,0.5035000000000001,0.4167932131064307,1.06,1.05,32.63,17.87,100,163,122.0,122.0,122,122
MarnikBe,200,5,0.23315326676247547,0.18298855417162413,0.212,0.15260697523012795,0.5035000000000001,0.4167932131064307,1.06,1.05,32.63,17.87,100,163,122.0,122.0,122,122
MarnikBe,250,5,0.23315326676247547,0.18298855417162413,0.212,0.15260697523012795,0.5035000000000001,0.4167932131064307,1.06,1.05,32.63,17.87,100,163,122.0,122.0,122,122
MarnikBe,300,5,0.23315326676247547,0.18298855417162413,0.212,0.15260697523012795,0.5035000000000001,0.4167932131064307,1.06,1.05,32.63,17.87,100,163,122.0,122.0,122,122
Siipn,300,5,0.23098864831271854,0.25537669876800984,0.326,0.29494735020667573,0.4425,0.34018525850043835,1.63,0.96,87.15,16.15,100,448,336.0,300.0,300,300
Siipn,100,5,0.22860945170764105,0.25528571846744835,0.306,0.2733333333333333,0.3661666666666667,0.33105666117274585,1.53,1.13,87.15,16.15,100,448,336.0,100.0,100,100
Siipn,200,5,0.22408009292298,0.24678953340556758,0.316,0.295665658841506,0.3983333333333334,0.3271265573318444,1.58,1.0,87.15,16.15,100,448,336.0,200.0,200,200
MarnikBe,100,5,0.2199796864146074,0.1861142016560959,0.196,0.1607557906963984,0.4796666666666667,0.4346043261568545,0.98,0.98,32.63,17.87,100,163,122.0,100.0,100,100
