username,requested_knn_neighbors,k,avg_ndcg_at_k,std_ndcg_at_k,avg_precision_at_k,std_precision_at_k,avg_mrr_at_k,std_mrr_at_k,avg_relevant_hits_at_k,avg_strong_hits_at_k,avg_test_relevant,avg_test_strong_relevant,valid_runs,score_count,avg_train_count,avg_actual_knn_neighbors,min_actual_knn_neighbors,max_actual_knn_neighbors
KSTTK,200,5,0.35670989543687637,0.21055310701390356,0.32,0.192799681461659,0.69,0.3654709613211746,1.6,1.4,27.24,5.73,100,138,104.0,104.0,104,104
KSTTK,250,5,0.35670989543687637,0.21055310701390356,0.32,0.192799681461659,0.69,0.3654709613211746,1.6,1.4,27.24,5.73,100,138,104.0,104.0,104,104
KSTTK,300,5,0.35670989543687637,0.21055310701390356,0.32,0.192799681461659,0.69,0.3654709613211746,1.6,1.4,27.24,5.73,100,138,104.0,104.0,104,104
KSTTK,50,5,0.35308579699156867,0.22475741624428028,0.30400000000000005,0.1999595918775551,0.6853333333333333,0.3717680026729678,1.52,1.37,27.24,5.73,100,138,104.0,50.0,50,50
LoyJoy,200,5,0.34260195498775947,0.16080554349399984,0.44,0.17752507291971892,0.5535,0.2579629146212016,2.2,1.73,27.61,15.48,100,231,173.0,173.0,173,173
LoyJoy,250,5,0.34260195498775947,0.16080554349399984,0.44,0.17752507291971892,0.5535,0.2579629146212016,2.2,1.73,27.61,15.48,100,231,173.0,173.0,173,173
LoyJoy,300,5,0.34260195498775947,0.16080554349399984,0.44,0.17752507291971892,0.5535,0.2579629146212016,2.2,1.73,27.61,15.48,100,231,173.0,173.0,173,173
Irseus,150,5,0.3338346105165792,0.16146610078399848,0.41200000000000003,0.19031075066370218,0.7675,0.33255274764513665,2.06,1.43,187.09,26.89,100,775,581.0,150.0,150,150
LoyJoy,150,5,0.32874517154937494,0.15893459023745327,0.42,0.18312660520894694,0.5493333333333333,0.26296803713034894,2.1,1.63,27.61,15.48,100,231,173.0,150.0,150,150
HumanRat,150,5,0.3285845263150317,0.20522791766297213,0.308,0.1957528848298076,0.7906666666666666,0.3646202458466302,1.54,1.09,34.29,9.94,100,161,121.0,121.0,121,121
HumanRat,200,5,0.3285845263150317,0.20522791766297213,0.308,0.1957528848298076,0.7906666666666666,0.3646202458466302,1.54,1.09,34.29,9.94,100,161,121.0,121.0,121,121
HumanRat,250,5,0.3285845263150317,0.20522791766297213,0.308,0.1957528848298076,0.7906666666666666,0.3646202458466302,1.54,1.09,34.29,9.94,100,161,121.0,121.0,121,121
HumanRat,300,5,0.3285845263150317,0.20522791766297213,0.308,0.1957528848298076,0.7906666666666666,0.3646202458466302,1.54,1.09,34.29,9.94,100,161,121.0,121.0,121,121
dareggon,50,5,0.32754356602507767,0.19865018391364528,0.38,0.231813230289761,0.83,0.3527429792747254,1.9,1.03,32.02,12.67,100,145,109.0,50.0,50,50
HumanRat,100,5,0.31988724119214207,0.20648164414925232,0.292,0.19983831848610398,0.7783333333333333,0.3781378260478784,1.46,1.05,34.29,9.94,100,161,121.0,100.0,100,100
HumanRat,50,5,0.31819120071341467,0.19901583780926185,0.29200000000000004,0.17620006993887558,0.7193333333333334,0.3792212470428763,1.46,1.15,34.29,9.94,100,161,121.0,50.0,50,50
Irseus,50,5,0.3162642204276307,0.18246160108949255,0.33399999999999996,0.18652592096520845,0.8041666666666667,0.34863349559909984,1.67,1.18,187.09,26.89,100,775,581.0,50.0,50,50
GrumbleDango,50,5,0.3135979535570391,0.21379449938449654,0.276,0.18808981306221176,0.6125,0.41026650203691095,1.38,1.37,85.95,51.45,100,488,366.0,50.0,50,50
pensa89,100,5,0.30699132874683754,0.19433835763592336,0.322,0.1630393148348526,0.6395000000000001,0.354121595468427,1.61,1.14,18.79,7.16,100,92,69.0,69.0,69,69
pensa89,150,5,0.30699132874683754,0.19433835763592336,0.322,0.1630393148348526,0.6395000000000001,0.354121595468427,1.61,1.14,18.79,7.16,100,92,69.0,69.0,69,69
