model,k,avg_ndcg_at_k,std_ndcg_at_k,avg_precision_at_k,std_precision_at_k,avg_mrr_at_k,std_mrr_at_k,avg_relevant_hits_at_k,avg_strong_hits_at_k,avg_test_relevant,avg_test_strong_relevant,username,score_count,rated_eval_count,liked_count,like_threshold,relevance_threshold,liked_ratio,score_mean,score_std,score_median,n_runs,random_state,clip_predictions,feature_set,n_features,feature_rows,bayesian_uncertainty_weight,neighbor_setting,score_count_bin
bayesian_ridge,5,0.42116036476959523,0.2113135593509432,0.41,0.1828506041399465,0.7425,0.33343748372904264,2.05,1.79,43.75,12.54,Trodos_,179,179,49,9.511531760547914,6,0.2737430167597765,8.793296089385475,1.0230635210958299,9.0,100,42,False,complete_num_genres,80,4859,15.0,,completed_100_400
global_mean,5,0.06216227056415763,0.05509741700219004,0.126,0.09704731741878193,0.374,0.42985080803892534,0.63,0.15,43.75,12.54,Trodos_,179,179,49,9.511531760547914,6,0.2737430167597765,8.793296089385475,1.0230635210958299,9.0,100,42,False,complete_num_genres,80,4859,,,completed_100_400
knn_all_available,5,0.5705145947605366,0.22359284817830288,0.56,0.21649177090293026,0.9191666666666667,0.2162891686824327,2.8,2.36,38.45,17.84,Stellarrr,168,168,71,8.633690990579755,6,0.4226190476190476,8.136904761904763,1.2673819811595084,8.0,100,42,False,complete_num_genres,80,4859,,all_available,completed_100_400
bayesian_ridge,5,0.4261388151875527,0.15240628427957936,0.518,0.17078547001333802,0.5406666666666666,0.2118980548143823,2.59,2.23,38.45,17.84,Stellarrr,168,168,71,8.633690990579755,6,0.4226190476190476,8.136904761904763,1.2673819811595084,8.0,100,42,False,complete_num_genres,80,4859,15.0,,completed_100_400
global_mean,5,0.1278584106534815,0.1545925265271684,0.138,0.13542301849904964,0.345,0.4016694957777897,0.69,0.47,38.45,17.84,Stellarrr,168,168,71,8.633690990579755,6,0.4226190476190476,8.136904761904763,1.2673819811595084,8.0,100,42,False,complete_num_genres,80,4859,,,completed_100_400
knn_all_available,5,0.6313783034319426,0.1873369751218908,0.548,0.20815689498379086,0.98,0.12143918126978108,2.74,2.47,28.03,6.04,Asl321,127,127,24,8.516303721794706,6,0.1889763779527559,7.551181102362205,1.0326074435894141,8.0,100,42,False,complete_num_genres,80,4859,,all_available,completed_100_400
global_mean,5,0.21615973665999827,0.1980414595692162,0.18600000000000003,0.17582130506036892,0.43666666666666665,0.39765022502072694,0.93,0.93,28.03,6.04,Asl321,127,127,24,8.516303721794706,6,0.1889763779527559,7.551181102362205,1.0326074435894141,8.0,100,42,False,complete_num_genres,80,4859,,,completed_100_400
bayesian_ridge,5,0.1397663945488447,0.1292800571484286,0.158,0.1311795746603899,0.26099999999999995,0.2699837880155877,0.79,0.74,28.03,6.04,Asl321,127,127,24,8.516303721794706,6,0.1889763779527559,7.551181102362205,1.0326074435894141,8.0,100,42,False,complete_num_genres,80,4859,15.0,,completed_100_400
bayesian_ridge,5,0.41394987674750944,0.22111304810384413,0.35800000000000004,0.1848723283181606,0.7558333333333332,0.3714818129784248,1.79,1.73,104.8,52.23,azriqluqman,440,440,210,8.556255513483679,6,0.4772727272727273,8.443181818181818,1.1125110269673586,8.0,100,42,False,complete_num_genres,80,4859,15.0,,completed_400_plus
knn_all_available,5,0.3192823823550006,0.19943113529378687,0.364,0.19149597142161262,0.4353333333333333,0.2945852531619181,1.82,1.82,104.8,52.23,azriqluqman,440,440,210,8.556255513483679,6,0.4772727272727273,8.443181818181818,1.1125110269673586,8.0,100,42,False,complete_num_genres,80,4859,,all_available,completed_400_plus
global_mean,5,0.10172241097807685,0.12590868347790055,0.098,0.10048367875913826,0.242,0.36767904317200184,0.49,0.49,104.8,52.23,azriqluqman,440,440,210,8.556255513483679,6,0.4772727272727273,8.443181818181818,1.1125110269673586,8.0,100,42,False,complete_num_genres,80,4859,,,completed_400_plus
global_mean,5,0.10959271753395511,0.1347824773854379,0.11200000000000002,0.1401874646768578,0.2033333333333333,0.23520175449997247,0.56,0.56,11.17,11.17,owenrl,165,165,45,5.162531040690669,6,0.2727272727272727,4.012121212121212,2.325062081381338,4.0,100,42,False,complete_num_genres,80,4859,,,completed_100_400
knn_all_available,5,0.07044405933117766,0.09222744533387123,0.08200000000000002,0.09886221408474206,0.14300000000000002,0.22034790367325638,0.41,0.41,11.17,11.17,owenrl,165,165,45,5.162531040690669,6,0.2727272727272727,4.012121212121212,2.325062081381338,4.0,100,42,False,complete_num_genres,80,4859,,all_available,completed_100_400
bayesian_ridge,5,0.03284704949030254,0.07568717773867879,0.042,0.09553676113032476,0.05416666666666667,0.12409888439815421,0.21,0.21,11.17,11.17,owenrl,165,165,45,5.162531040690669,6,0.2727272727272727,4.012121212121212,2.325062081381338,4.0,100,42,False,complete_num_genres,80,4859,15.0,,completed_100_400
bayesian_ridge,5,0.527425781934477,0.2567425387590007,0.49,0.2017599333541491,0.8395,0.28280952769705087,2.45,0.89,19.09,1.61,KuiKuix,80,80,6,9.476805778069016,6,0.075,8.375,0.9536115561380326,9.0,100,42,False,complete_num_genres,80,4859,15.0,,completed_20_100
knn_all_available,5,0.43153763844751775,0.2500747666511079,0.426,0.25844132640102124,0.845,0.33606206337179817,2.13,0.7,19.09,1.61,KuiKuix,80,80,6,9.476805778069016,6,0.075,8.375,0.9536115561380326,9.0,100,42,False,complete_num_genres,80,4859,,all_available,completed_20_100
global_mean,5,0.09850985234314519,0.10994119340493182,0.098,0.10048367875913827,0.306,0.42111444256564484,0.49,0.23,19.09,1.61,KuiKuix,80,80,6,9.476805778069016,6,0.075,8.375,0.9536115561380326,9.0,100,42,False,complete_num_genres,80,4859,,,completed_20_100
bayesian_ridge,5,0.22044662785039237,0.1670211440000246,0.314,0.18478488722147857,0.555,0.3741094926059916,1.57,0.8,38.2,15.05,Kraby,223,223,61,7.569894998465751,6,0.273542600896861,6.923766816143497,1.1397899969315004,7.0,100,42,False,complete_num_genres,80,4859,15.0,,completed_100_400
global_mean,5,0.08153852797130297,0.07278474926177636,0.14200000000000002,0.11475049789729355,0.18866666666666668,0.14803008763842632,0.71,0.45,38.2,15.05,Kraby,223,223,61,7.569894998465751,6,0.273542600896861,6.923766816143497,1.1397899969315004,7.0,100,42,False,complete_num_genres,80,4859,,,completed_100_400
knn_all_available,5,0.06774540463835246,0.10675026736095766,0.12,0.14770978917519925,0.17733333333333334,0.257638851452528,0.6,0.3,38.2,15.05,Kraby,223,223,61,7.569894998465751,6,0.273542600896861,6.923766816143497,1.1397899969315004,7.0,100,42,False,complete_num_genres,80,4859,,all_available,completed_100_400
knn_all_available,5,0.6823815052965001,0.1913452944238752,0.6779999999999999,0.22722747024143722,0.995,0.05000000000000001,3.39,2.86,132.46,68.15,KyleAxity_,545,545,272,9.63602931413869,6,0.4990825688073395,8.985321100917432,1.272058628277382,9.0,100,42,False,complete_num_genres,80,4859,,all_available,completed_400_plus
bayesian_ridge,5,0.37117709601014026,0.18509805426402065,0.402,0.1808956393151375,0.535,0.2993117807363119,2.01,1.98,132.46,68.15,KyleAxity_,545,545,272,9.63602931413869,6,0.4990825688073395,8.985321100917432,1.272058628277382,9.0,100,42,False,complete_num_genres,80,4859,15.0,,completed_400_plus
global_mean,5,0.10803249935855058,0.14657718549735296,0.136,0.1417922794268098,0.385,0.4011032764561246,0.68,0.23,132.46,68.15,KyleAxity_,545,545,272,9.63602931413869,6,0.4990825688073395,8.985321100917432,1.272058628277382,9.0,100,42,False,complete_num_genres,80,4859,,,completed_400_plus
knn_all_available,5,0.566057717433841,0.18175048758592324,0.568,0.16010097823662175,0.7566666666666667,0.2881108403743075,2.84,2.84,69.1,69.1,Ideooo,570,570,273,6.584304994171996,6,0.4789473684210526,6.93859649122807,3.1686099883439907,5.0,100,42,False,complete_num_genres,80,4859,,all_available,completed_400_plus
global_mean,5,0.5002109624293538,0.1945749156968599,0.532,0.23306478052076401,0.6166666666666667,0.2600397103405253,2.66,2.66,69.1,69.1,Ideooo,570,570,273,6.584304994171996,6,0.4789473684210526,6.93859649122807,3.1686099883439907,5.0,100,42,False,complete_num_genres,80,4859,,,completed_400_plus
bayesian_ridge,5,0.47124551827091027,0.19267096519049567,0.47,0.1714466079977653,0.701,0.3292154739419584,2.35,2.35,69.1,69.1,Ideooo,570,570,273,6.584304994171996,6,0.4789473684210526,6.93859649122807,3.1686099883439907,5.0,100,42,False,complete_num_genres,80,4859,15.0,,completed_400_plus
knn_all_available,5,0.3423586221657075,0.19392613981112913,0.38,0.17865942997555967,0.5258333333333334,0.33657827122369727,1.9,1.8,25.33,17.03,Pao_Pa0,169,169,69,7.867605757247353,6,0.40828402366863903,7.029585798816568,1.7352115144947065,7.0,100,42,False,complete_num_genres,80,4859,,all_available,completed_100_400
bayesian_ridge,5,0.25588898003511334,0.16229239243357238,0.32,0.1842264745887353,0.4003333333333333,0.23281544257851602,1.6,1.4,25.33,17.03,Pao_Pa0,169,169,69,7.867605757247353,6,0.40828402366863903,7.029585798816568,1.7352115144947065,7.0,100,42,False,complete_num_genres,80,4859,15.0,,completed_100_400
global_mean,5,0.21976376199040362,0.18488104454961957,0.192,0.16555996197783143,0.4625,0.39147319528450814,0.96,0.96,25.33,17.03,Pao_Pa0,169,169,69,7.867605757247353,6,0.40828402366863903,7.029585798816568,1.7352115144947065,7.0,100,42,False,complete_num_genres,80,4859,,,completed_100_400
knn_all_available,5,0.4563597948085231,0.15795376546576448,0.722,0.1630393148348526,0.84,0.24148809145897512,3.61,1.83,157.72,25.21,Erebus25,771,771,103,8.56378400341731,6,0.13359273670557717,7.474708171206226,1.1275680068346179,8.0,100,42,False,complete_num_genres,80,4859,,all_available,completed_400_plus
bayesian_ridge,5,0.2832791257228246,0.1679597214986735,0.424,0.1712225794606883,0.6961666666666666,0.30055928973202606,2.12,0.9,157.72,25.21,Erebus25,771,771,103,8.56378400341731,6,0.13359273670557717,7.474708171206226,1.1275680068346179,8.0,100,42,False,complete_num_genres,80,4859,15.0,,completed_400_plus
global_mean,5,0.1814956753583915,0.1541000196413564,0.298,0.1740660503917691,0.4993333333333333,0.3172546375555526,1.49,0.46,157.72,25.21,Erebus25,771,771,103,8.56378400341731,6,0.13359273670557717,7.474708171206226,1.1275680068346179,8.0,100,42,False,complete_num_genres,80,4859,,,completed_400_plus
knn_all_available,5,0.7615381105512395,0.18017857773442994,0.818,0.17545323702866927,0.9766666666666667,0.1161001154718209,4.09,3.2,53.82,20.1,DoomSlayer_OG,361,361,82,7.574196199987281,6,0.22714681440443213,6.698060941828255,1.1483923999745622,7.0,100,42,False,complete_num_genres,80,4859,,all_available,completed_100_400
bayesian_ridge,5,0.7085314831157039,0.1760438705904695,0.7240000000000001,0.18153108646602475,0.985,0.08572330399888264,3.62,2.92,53.82,20.1,DoomSlayer_OG,361,361,82,7.574196199987281,6,0.22714681440443213,6.698060941828255,1.1483923999745622,7.0,100,42,False,complete_num_genres,80,4859,15.0,,completed_100_400
