username,model,k,avg_ndcg_at_k,std_ndcg_at_k,avg_precision_at_k,std_precision_at_k,avg_mrr_at_k,std_mrr_at_k,avg_relevant_hits_at_k,avg_strong_hits_at_k,avg_test_relevant,avg_test_strong_relevant,valid_runs,score_count,avg_train_count,avg_candidate_count,avg_knn_neighbors,feature_set,feature_columns,n_features,feature_rows,bayesian_uncertainty_weight,clip_predictions,n_runs,random_state,svd_explained_variance
dareggon,bayesian_ridge,5,0.0551489388147926,0.0942773562951708,0.086,0.1180823201983867,0.152,0.2412704868222548,0.43,0.23,32.02,12.67,100,145,109.0,4750.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
Opelo_Stradyon,knn_all_available,5,0.0490113881063887,0.1031715912525343,0.046,0.0936574458957597,0.1119999999999999,0.2601915896020916,0.23,0.23,23.48,23.48,100,395,296.0,4563.0,296.0,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
AkiAki_Akira,knn_all_available,5,0.0465419517571436,0.0653090871106956,0.068,0.0952190457139046,0.0745,0.1052882047553573,0.34,0.34,37.86,21.92,100,234,176.0,4683.0,176.0,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
Dadalt,global_mean,5,0.042395025659202,0.0738002669093554,0.05,0.0870388279778489,0.0833333333333333,0.1450647132964148,0.25,0.25,14.55,8.34,100,68,51.0,4808.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
Dadalt,bayesian_ridge,5,0.0354389405483473,0.0726361680665635,0.04,0.0804030252207369,0.0728333333333333,0.1554230135189545,0.2,0.2,14.55,8.34,100,68,51.0,4808.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
Moonshyla,knn_all_available,5,0.0318559369818162,0.0590921528745464,0.06,0.1005037815259212,0.1075,0.2036751969646424,0.3,0.14,35.29,7.28,100,144,108.0,4751.0,108.0,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
yorkie_pro,bayesian_ridge,5,0.0297301308277203,0.0603006397176367,0.052,0.0969014911644758,0.0661666666666666,0.1262747569930253,0.26,0.16,32.46,18.08,100,187,140.0,4719.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
Dinterdos123,bayesian_ridge,5,0.0227640097952488,0.0623783728746426,0.046,0.0978764424149038,0.08,0.2014676787706296,0.23,0.07,19.83,9.35,100,83,62.0,4797.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
LocNguyen,bayesian_ridge,5,0.017519219216642,0.0463997085795797,0.028,0.0697470176039554,0.0353333333333333,0.0904310664416702,0.14,0.11,60.88,33.29,100,572,421.0,4438.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
LoyJoy,knn_all_available,5,0.0096162497487553,0.0389020039924749,0.012,0.0477366513151884,0.0181666666666666,0.0766547714384911,0.06,0.06,27.61,15.48,100,231,173.0,4686.0,173.0,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
yorkie_pro,knn_all_available,5,0.0070993482127681,0.0274580615729491,0.02,0.0603022689155527,0.0245,0.0789754468940898,0.1,0.02,32.46,18.08,100,187,140.0,4719.0,140.0,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
alfalfy,bayesian_ridge,5,0.0044685352999185,0.0256848352909577,0.006,0.034289321599553,0.0078333333333333,0.0457788932883601,0.03,0.03,35.49,19.37,100,161,121.0,4738.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
Captn_Cook,knn_all_available,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.53,8.52,100,79,59.0,4800.0,59.0,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
Dinterdos123,global_mean,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.83,9.35,100,83,62.0,4797.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
Dinterdos123,knn_all_available,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.83,9.35,100,83,62.0,4797.0,62.0,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
Ebelha,knn_all_available,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,17.9,100,191,143.0,4716.0,143.0,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
