bayesian_uncertainty_weight,k,avg_ndcg_at_k,std_ndcg_at_k,avg_precision_at_k,std_precision_at_k,avg_mrr_at_k,std_mrr_at_k,avg_relevant_hits_at_k,avg_strong_hits_at_k,avg_test_relevant,avg_test_strong_relevant,username,score_count,n_runs,clip_predictions
10,10,0.18876102825387342,0.09581427258845704,0.233,0.10546194679704249,0.34896031746031747,0.16894333981597148,2.33,1.74,16.53,8.52,Captn_Cook,79,100,False
7,10,0.18789324428864776,0.09827975014240141,0.237,0.11069568805303731,0.3489206349206349,0.16786916345884823,2.37,1.71,16.53,8.52,Captn_Cook,79,100,False
12,10,0.18722073087107152,0.09491687905914714,0.23199999999999998,0.10237581785171772,0.33534126984126983,0.15336151877352625,2.32,1.74,16.53,8.52,Captn_Cook,79,100,False
13,10,0.18701536442079217,0.09499547833723646,0.23199999999999998,0.10138435717006782,0.33060317460317457,0.15418608194369166,2.32,1.75,16.53,8.52,Captn_Cook,79,100,False
15,10,0.1843773865853623,0.09486028526709273,0.225,0.09885710532241611,0.3244920634920635,0.15675123316240044,2.25,1.75,16.53,8.52,Captn_Cook,79,100,False
17,10,0.18192921698221387,0.09603691907970444,0.222,0.10207939077111511,0.30354761904761907,0.13915020219287663,2.22,1.77,16.53,8.52,Captn_Cook,79,100,False
18,10,0.18108097211117336,0.09418996745097812,0.22,0.09949366763261822,0.3034246031746032,0.14189287465782285,2.2,1.76,16.53,8.52,Captn_Cook,79,100,False
20,10,0.1807417714087164,0.09708049916289653,0.21900000000000003,0.10415121097459569,0.2964126984126984,0.15853524307938005,2.19,1.76,16.53,8.52,Captn_Cook,79,100,False
0,10,0.12727578591427263,0.09249243282455662,0.169,0.11520293907586375,0.274484126984127,0.1636589323948815,1.69,1.09,16.53,8.52,Captn_Cook,79,100,False
-1,10,0.10549536538843317,0.08804902047324359,0.14400000000000002,0.10760946974963671,0.23391269841269843,0.1656552376450873,1.44,0.91,16.53,8.52,Captn_Cook,79,100,False
-2,10,0.07661911686515724,0.07731873982597887,0.10400000000000001,0.08980337668844342,0.18642857142857142,0.16762826995742522,1.04,0.66,16.53,8.52,Captn_Cook,79,100,False
-3,10,0.04827069149940308,0.07218135989744481,0.064,0.07979772407579534,0.12384920634920635,0.17880612282837313,0.64,0.4,16.53,8.52,Captn_Cook,79,100,False
-4,10,0.0173191873088259,0.04682986258137785,0.023000000000000003,0.050960471906858346,0.05194047619047619,0.1240486740205955,0.23,0.13,16.53,8.52,Captn_Cook,79,100,False
-5,10,0.003241166394060534,0.0158728221103055,0.007000000000000001,0.02931886695621029,0.008777777777777778,0.036572678232751135,0.07,0.02,16.53,8.52,Captn_Cook,79,100,False
3,5,0.14213802838821105,0.19309920020816812,0.128,0.16458088797569626,0.28583333333333333,0.3859293955071294,0.64,0.64,19.83,9.35,Dinterdos123,83,100,False
5,5,0.14184259949053749,0.18930734263048124,0.126,0.1599368562270685,0.2925,0.39246104698514145,0.63,0.63,19.83,9.35,Dinterdos123,83,100,False
6,5,0.13699031393937428,0.1860495749169551,0.12200000000000001,0.1580052422094172,0.2825,0.3869531549267225,0.61,0.61,19.83,9.35,Dinterdos123,83,100,False
7,5,0.13669488504170071,0.1855141494970837,0.12,0.1556997888323046,0.2875,0.3929754620898279,0.6,0.6,19.83,9.35,Dinterdos123,83,100,False
8,5,0.13506543473216184,0.17922477661598654,0.12,0.15308279927654653,0.28783333333333333,0.391455133076731,0.6,0.6,19.83,9.35,Dinterdos123,83,100,False
9,5,0.1349168020088582,0.1754193688191558,0.12,0.1477097891751993,0.28933333333333333,0.39056291930928877,0.6,0.6,19.83,9.35,Dinterdos123,83,100,False
13,5,0.13292373553588283,0.1747254273048433,0.12,0.14494861506789575,0.2813333333333333,0.38399722922681634,0.6,0.6,19.83,9.35,Dinterdos123,83,100,False
10,5,0.13235301182834389,0.1729602850399468,0.11800000000000001,0.142403609079222,0.28350000000000003,0.3845099421639129,0.59,0.59,19.83,9.35,Dinterdos123,83,100,False
15,5,0.1320557463817366,0.17409758230483244,0.11800000000000001,0.142403609079222,0.28300000000000003,0.3845864454277271,0.59,0.59,19.83,9.35,Dinterdos123,83,100,False
12,5,0.13190895020736668,0.17280551657003296,0.11800000000000001,0.142403609079222,0.2818333333333333,0.38392280105734433,0.59,0.59,19.83,9.35,Dinterdos123,83,100,False
17,5,0.12991588373439134,0.1732619848766491,0.11600000000000002,0.1426445748967508,0.2793333333333333,0.38494479030439094,0.58,0.58,19.83,9.35,Dinterdos123,83,100,False
18,5,0.12842902680105941,0.17214344046294539,0.11600000000000002,0.1426445748967508,0.2735,0.3786464685536472,0.58,0.58,19.83,9.35,Dinterdos123,83,100,False
20,5,0.12783633245677858,0.17196833886153526,0.11600000000000002,0.1426445748967508,0.2713333333333333,0.37806792185446453,0.58,0.58,19.83,9.35,Dinterdos123,83,100,False
0,5,0.030969119523411845,0.06998780738355172,0.05,0.09999999999999999,0.06483333333333334,0.13263484974546982,0.25,0.17,19.83,9.35,Dinterdos123,83,100,False
